Compound,Generic Name,Trade name,Combination,Therapeutic area,Project type,Indication,Phase,Filing date,Partner,Managed by,Description
"RG6881","MASH with fibrosis stage F2 or F3","","","Cardiovascular, Renal & Metabolism","nme","pegozafermin","Phase 3","2028+","89bio","Roche Late Stage Product Development","Pegozafermin is a FGF21 analog currently in late-stage development for MASH in moderate and severe fibrotic patients (F2 and F3 stages) as well as cirrhotic patients (F4 stage)"
"RG6107","crovalimab","PiaSky","","Oncology/Hematology","nme","paroxysmal nocturnal hemoglobinuria (PNH)","Approved","","Chugai","Roche Late Stage Product Development","PiaSky (crovalimab, RG6107) is a humanised complement inhibitor C5 monoclonal antibody discovered by Chugai using recycling antibody technology.  By blocking the cleavage of C5 to C5a and C5b, it is expected to inhibit complement activation, which is the cause of a number of diseases. As the complement system is a key innate immune defense mechanism, it is planned to study the potential of this antibody in a broader range of complement-mediated diseases."
"RG6434","NME","","","Neuroscience","nme","neurodegenerative disorders","Phase 1","","","Pharma Research and Early Development (pRED)",""
"RG7446","atezolizumab","Tecentriq","plus lurbinectedin","Oncology/Hematology","ai","1L maintenance extensive stage-small cell lung cancer (1L maintenance ES-SCLC)","Approved","","Jazz Pharma","Roche Late Stage Product Development","Cancer immunotherapy is the use of the immune system to fight cancer. Tecentriq (anti-PDL1, RG7446, atezolizumab) is an engineered monoclonal antibody that targets the ligand PD-L1 (programmed death ligand 1) aiming to prevent cancer immune evasion."
"RG7716","faricimab","Vabysmo","","Ophthalmology","ai","macular edema secondary to central retinal vein occlusion (CRVO)","Approved","","","Roche Late Stage Product Development","Vabysmo (faricimab, RG7716) is a bispecific antibody developed with CrossMab technology to tightly bind VEGF-A on one arm and angiopoietin (Ang)-2 on the other arm."
"CHU","codrituzumab","","","Oncology/Hematology","nme","Hepatocellular carcinoma (HCC)","Phase 1","","Chugai","Chugai","Codrituzumab, a humanized monoclonal antibody created by Chugai, targets glypican-3 (GPC3), which is specifically expressed in hepatocellular carcinoma."
"RG6421","TMEM16A potentiator","","","Immunology","nme","Muco-obstructive respiratory disease","Phase 1","","","Genentech Research and Early Development (gRED)",""
"RG6735","NME","","","Oncology/Hematology","nme","heme tumors","Phase 1","","","Genentech Research and Early Development (gRED)",""
"RG6152","baloxavir marboxil","Xofluza","","Other","ai","influenza, pediatric patients (0-1yr)","Approved","","Shionogi","Roche Late Stage Product Development","Xofluza (baloxavir marboxil, RG6152) is an oral cap-dependent endonuclease inhibitor with broad and potent antiviral activity against seasonal influenza A and B viruses."
"RG6627","APO E ASO","","","Neuroscience","nme","Alzheimer's disease","Phase 1","","","Pharma Research and Early Development (pRED)","APOE is the major risk factor for the development of late onset AD. In addition, APOE is considered a target of high relevance and key pathogenic driver of ALzheimer's disease."
"RG6540","P-CD19 x CD20 - ALLO1","","","Oncology/Hematology","nme","heme tumors","Phase 1","","Poseida Therapeutics","Roche Late Stage Product Development","P-CD19xCD20-ALLO1 is an off-the-shelf, allogeneic CAR-T cell therapy product candidate being developed for relapsed or refractory B-cell malignancies in partnership with Poseida. P-CD19xCD20-ALLO1 expresses two fully functional CAR molecules to target cells that express either CD19 or CD20. The dual targeting approach employed in P-CD19xCD20-ALLO1 aims to overcome the antigen escape limitations of CD19-only targeted CAR-T therapies by simultaneously targeting both CD19 and CD20. In addition to the dual targeting, P-CD19xCD20-ALLO1 uses a novel CD19 binder that showed greater potency in in vivo preclinical models when compared to the canonical FMC63 Single-chain variable fragment (scFv) binder."
"RG6411","enzelkitug (anti-CCR8)","","","Oncology/Hematology","nme","solid tumors","Phase 1","","","Genentech Research and Early Development (gRED)",""
"RG6631","afimkibart (anti-TL1A)","","","Immunology","ai","atopic dermatitis","Phase 2","2029+","Telavant","Roche Late Stage Product Development","A monoclonal antibody targeting TL1A, blocking TH1 and TH17 pathways"
"RG6114","Inavolisib","Itovebi","plus CDK4/6i plus letrozole","Oncology/Hematology","ai","1L endocrine-sensitive PIK3CA-mut. HR+/HER2- advanced BC","Phase 3","2029+","","Roche Late Stage Product Development","Inavolisib (RG6114, GDC-0077) is a small molecule PI3 kinase (PI3K) inhibitor. Dysregulation of PI3K signaling is implicated in a broad range of human cancers, and activating mutations in the PI3K alpha-isoform gene (PIK3CA) are common oncogenic drivers. The PI3K/Akt/mTOR pathway regulates cell growth and survival."
"RG1594","ocrelizumab","Ocrevus SC","","Neuroscience","ai","relapsing multiple sclerosis (RMS) & primary progressive multiple sclerosis (PPMS)","Approved","","Halozyme, Biogen Idec","Roche Late Stage Product Development","Ocrevus (ocrelizumab, RG1594) is a humanized monoclonal antibody targeting CD20-positive B cells which play a key role in MS. Ocrevus is the first therapy approved for both relapsing forms of multiple sclerosis and primary progressive multiple sclerosis."
"RG6622","NME","","","Cardiovascular, Renal & Metabolism","nme","coronary artery disease","Phase 1","","","Pharma Research and Early Development (pRED)",""
"RG6026","glofitamab","Columvi","","Oncology/Hematology","nme","3L+ diffuse large B-cell lymphoma (3L+ DLBCL)","Approved","","","Roche Late Stage Product Development","Columvi (glofitamab, Anti-CD20 CD3 TCB, RG6026) is a 2:1 format T cell-engaging bispecific antibody, designed to engage both CD20 on B cells and CD3 on T cells. By engaging both targets simultaneously, the antibody activates the T cells to attack and eliminate the B cells, allowing treatment of B cell cancers such as non-Hodgkin’s lymphoma."
"CHU","clesitamig (DLL3 trispecific)","","","Oncology/Hematology","nme","solid tumors","Phase 1","","Chugai","Chugai","DLL3 trispecific is a trispecific antibody targeting DLL3, with bivalent CD3/CD137 binding."
"RG6648","cMET ADC","","","Oncology/Hematology","nme","solid tumors","Phase 1","","Medilink","Pharma Research and Early Development (pRED)","YL211 selectively targets the cognate cMET expressed on the surface of target cancer cells. After the internalization of the cMET-YL211 complex through the endosomal-lysosomal pathway, the active antitumor payload YL0010014 is released, arresting the cell cycle of tumor cells, and eventually leading to tumor cell apoptosis. YL211, with its anti- cMET specific antibody, the novel cytotoxin YL0010014, and advanced linker and conjugate methods, is designed to provide potent, targeted therapy against cancer cells that express cMET"
"RG6858","NME","","","Ophthalmology","nme","retinal diseases","Phase 1","","","Genentech Research and Early Development (gRED)",""
"CHU","CRC","","","Oncology/Hematology","nme","CDH17 ADC","Phase 1","","Hansoh Pharma","Pharma Research and Early Development (pRED)","Novel potentially first-in-class antibody-drug conjugate composed of a humanized anti-CDH17 monoclonal antibody covalently conjugated to topoisomerase inhibitor (TOPOi) payload."
"RG7828","mosunetuzumab","Lunsumio SC","","Oncology/Hematology","ai","3L+ Follicular Lymphoma (3L+ FL)","Approved","","Biogen Idec","Roche Late Stage Product Development","Lunsumio (mosunetuzumab, anti-CD20/CD3 TDB, RG7828) is a humanized full-length T cell-dependent bispecific antibody designed to target both CD20 on B cells and CD3 on T cells. This dual-targeting antibody is designed to redirect T cells to attack cancer cells."
"RG7853","alectinib","Alecensa","","Oncology/Hematology","ai","adjuvant ALK-positive non-small cell lung cancer (ALK+ NSCLC adj)","Approved","","Chugai","Roche Late Stage Product Development","Alecensa (Alectinib, RG7853) is a small molecule designed to selectively target ALK (anaplastic lymphoma kinase) and to penetrate and stay in the central nervous system. Alectinib binds ALK, inhibiting downstream malignant pathways that contribute to tumorigenesis and disease progression. Alecensa is evaluated for the treatment of adjuvant ALK-positive non-small cell lung cancer."
"RG6810","DLL3 ADC","","","Oncology/Hematology","nme","SCLC","Phase 1","","Innovent","Pharma Research and Early Development (pRED)","DLL3 targeted ADC with Topo1 isomerase payload"
"RG6537","AR degrader","","","Oncology/Hematology","nme","metastatic castration-resistant prostate cancer (mCRPC)","Phase 1","","Jemincare","Genentech Research and Early Development (gRED)","AR degrader (RG6537, GDC-2992) is a small molecule, oral degrader of the androgen receptor, a disease driver in prostate cancer. GDC-2992 has the potential to treat patients with prostate cancer who have developed resistance to current therapies."
"RG6114","Inavolisib","Itovebi","plus enzalutamide","Oncology/Hematology","ai","CRPC","Phase 3","2029+","","Roche Late Stage Product Development","Inavolisib (RG6114, GDC-0077) is a small molecule PI3 kinase (PI3K) inhibitor. Dysregulation of PI3K signaling is implicated in a broad range of human cancers, and activating mutations in the PI3K alpha-isoform gene (PIK3CA) are common oncogenic drivers. The PI3K/Akt/mTOR pathway regulates cell growth and survival."
"RG6171","giredestrant","","plus CDK4/6i","Oncology/Hematology","ai","1L ET resistant ER-positive and HER2-negative breast cancer (1L ET resistant ER+/HER2- BC)","Phase 3","2027","","Roche Late Stage Product Development","Giredestrant (RG6171, GDC-9545) is a selective estrogen receptor degrader (SERD) that is designed to bind to the estrogen receptor to limit its function.  In addition, when SERDs bind to the estrogen receptor, they may be able to change the shape of the receptor in such a way that the cell eliminates it by degradation."
"RG6168","satralizumab","Enspryng","","Neuroscience","ai","autoimmune encephalitis (AE)","Phase 3","2026","Chugai","Roche Late Stage Product Development","Enspryng (satralizumab, RG6168) is a humanized monoclonal antibody to the interleukin-6 receptor."
"RG6168","satralizumab","Enspryng","","Ophthalmology","ai","Thyroid eye disease (TED)","Phase 3","2026","Chugai","Roche Late Stage Product Development","Enspryng (satralizumab, RG6168) is a humanized monoclonal antibody to the interleukin-6 receptor."
"CHU","anti-C1s recycling antibody","","","Immunology","nme","immunology","Phase 1","","Chugai","Chugai","RAY121 is a therapeutic antibody that applies the recycling antibody® technology created by Chugai."
"CHU","REVN24","","","Other","nme","acute diseases","Phase 1","","Chugai","Chugai",""
"RG6171","giredestrant","","plus Phesgo","Oncology/Hematology","ai","1L ER-positive and HER2-positive breast cancer (1L ER+/HER2+ BC)","Phase 3","2027","","Roche Late Stage Product Development","Giredestrant (RG6171, GDC-9545) is a selective estrogen receptor degrader (SERD) that is designed to bind to the estrogen receptor to limit its function.  In addition, when SERDs bind to the estrogen receptor, they may be able to change the shape of the receptor in such a way that the cell eliminates it by degradation. Phesgo (RG6264) is the first fixed-dose combination of Perjeta and Herceptin administered via subcutaneous injection (SC), that shortens the administration time from hours to minutes."
"RG6149","astegolimab (anti-ST2)","","","Immunology","nme","chronic obstructive pulmonary disease (COPD)","Phase 3","","Amgen","Roche Late Stage Product Development","Astegolimab (anti-ST2, AMG 282, RG6149) is a fully human monoclonal antibody designed to inhibit binding of interleukin-33 (IL-33) to the ST2 receptor."
"CHU","anti-HLA-DQ2.5 x gluten peptides (DONQ52)","","","Immunology","nme","celiac disease","Phase 1","","Chugai","Chugai","DONQ52 is a bispecific antibody against complex of HLADQ2.5/gluten peptides. DONQ52 directly inhibits gluten dependent T cell activation by neutralizing interaction of T cell receptor (TCR) and complex of HLA-DQ2.5/gluten peptides. DONQ52 covers >25 gluten derived peptides including all immunodominant gluten peptides for celiac disease."
"RG6631","afimkibart (anti-TL1A)","","","Immunology","ai","MASH","Phase 1","","Telavant","Roche Late Stage Product Development","A monoclonal antibody targeting TL1A, blocking TH1 and TH17 pathways"
"RG6237","emugrobart (GYM 329)","","","Cardiovascular, Renal & Metabolism","ai","obesity","Phase 2","2029+","Chugai","Pharma Research and Early Development (pRED)","Emugrobart (GYM 329) is a SMART-Ig* using recycling and sweeping antibody technologies that eliminates latent myostatin from plasma and tissues. Latent myostatin is an inactive form that is mainly secreted from muscle cells, and is activated by BMP-1 and other protein degrading enzymes. Activated myostatin inhibits muscle growth and hypertrophy, and by inhibiting latent myostatin, gym 329 is more targeted and expected to improve the various conditions associated with muscle atrophy and loss of muscular strength.

* Sequential Monoclonal Antibody Recycling Technology - Immunoglobulin"
"RG7828","mosunetuzumab","Lunsumio","plus Polivy","Oncology/Hematology","ai","2L+ SCT ineligible diffuse large B-cell lymphoma (2L+ DLBCL)","Filed","2026","Biogen Idec","Roche Late Stage Product Development","Lunsumio (mosunetuzumab, anti-CD20/CD3 TDB, RG7828) is a humanized full-length T cell-dependent bispecific antibody designed to target both CD20 on B cells and CD3 on T cells. This dual-targeting antibody is designed to redirect T cells to attack cancer cells."
"RG6114","Inavolisib","Itovebi","plus fulvestrant","Oncology/Hematology","ai","post CDKi HR-positive breast cancer (post CDKi HR+ PIK3CA-mut. BC)","Phase 3","2026","","Roche Late Stage Product Development","Inavolisib (RG6114, GDC-0077) is a small molecule PI3 kinase (PI3K) inhibitor. Dysregulation of PI3K signaling is implicated in a broad range of human cancers, and activating mutations in the PI3K alpha-isoform gene (PIK3CA) are common oncogenic drivers. The PI3K/Akt/mTOR pathway regulates cell growth and survival."
"RG7828","mosunetuzumab","Lunsumio","","Oncology/Hematology","nme","3L+ Follicular Lymphoma (3L+ FL)","Approved","","Biogen Idec","Roche Late Stage Product Development","Lunsumio (mosunetuzumab, anti-CD20/CD3 TDB, RG7828) is a humanized full-length T cell-dependent bispecific antibody designed to target both CD20 on B cells and CD3 on T cells. This dual-targeting antibody is designed to redirect T cells to attack cancer cells."
"RG6505","PanRAS inhibitor","","","Oncology/Hematology","nme","solid tumors","Phase 1","","","Pharma Research and Early Development (pRED)","A small molecule inhibitor covering a broad range of RAS mutations in solid tumors."
"RG6849","petrelintide","","","Cardiovascular, Renal & Metabolism","nme","obesity +/- Type 2 diabetes (T2D)","Phase 2","","Zealand","Roche Late Stage Product Development","Petrelintide is a long-acting amylin analog suitable for once-weekly subcutaneous administration that has been designed with chemical and physical stability with no fibrillation around neutral pH, allowing for co-formulation and co-administration with other peptides."
"RG6168","satralizumab","Enspryng","","Neuroscience","ai","myelin oligodendrocyte glycoprotein antibody disease (MOG-AD)","Phase 3","2026","Chugai","Roche Late Stage Product Development","Enspryng (satralizumab, RG6168) is a humanized monoclonal antibody to the interleukin-6 receptor."
"RG6344","mosperafenib (BRAF inhibitor (3))","","","Oncology/Hematology","nme","solid tumors","Phase 1","","","Pharma Research and Early Development (pRED)","Mosperafenib (BRAF inhibitor (3), RG6344) is a potent and selective  inhibitor of mtBRAFV600E and is currently investigated for the treatment of Braf-V600 mutation-positive solid tumors."
"RG7916","risdiplam","Evrysdi","","Neuroscience","ai","spinal muscular atrophy (SMA) pediatric <2 months","Approved","","PTC Therapeutics, SMA Foundation","Roche Late Stage Product Development","Evrysdi (risdiplam, RG7916) is an investigational oral SMN2 splicing modifier being studied in the treatment of spinal muscular atrophy."
"RG6182","MAGL inhibitor","","","Neuroscience","nme","multiple sclerosis (MS)","Phase 2","2029+","","Pharma Research and Early Development (pRED)","MAGL inhibitor (RG6182) has a unique and multimodal mechanism of action to target compartmentalized inflammation in the central nervous system. MAGLi has disease modifying potential to tackle the accumulation of persistent neurological disability in Multiple Sclerosis."
